Simulation,Category,Object,Parameter,Data File
REAL_TIME,Generator,22_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,22_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,23_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,23_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,23_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,23_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,24_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,24_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,24_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,24_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,25_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,25_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,25_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,25_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,26_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,26_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,26_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,26_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,27_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,27_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,27_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,27_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,28_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,28_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,28_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,28_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,29_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,29_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,29_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,29_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,3_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,3_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,3_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,3_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,30_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,30_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,30_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,30_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,31_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,31_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,31_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,31_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,4_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,4_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,4_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,4_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,5_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,5_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,5_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,5_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,6_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,6_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,6_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,6_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,7_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,7_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,7_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,7_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,8_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,8_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,8_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,8_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,9_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,9_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,9_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,9_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,9_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,9_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,9_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,9_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,12_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,12_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,12_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,12_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,25_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,25_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,25_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,25_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,12_PV-3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,12_PV-3,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,12_PV-3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,12_PV-3,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,27_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,27_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,27_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,27_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,9_PV-3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,9_PV-3,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,9_PV-3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,9_PV-3,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,10_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,10_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,10_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,10_PV-2,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,28_PV-2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,28_PV-2,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,28_PV-2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,28_PV-2,PMax MW,REAL_TIME_renewables.csv
