Year,Month,Day,Period,1,2,3
2020,9,16,7,17358.421599999998,15827.303150296506,11685.652721681516
2020,9,16,8,17807.326200000003,16287.892878241057,11566.992613009808
2020,9,16,9,18711.0284,17130.804488058224,11920.45975242132
2020,9,16,10,20094.9488,18339.11822912908,12280.22804476228
2020,9,16,11,18838.6984,17645.06309535171,14037.447352474936
2020,9,16,12,21345.951,19777.5955359608,17501.03402037799
2020,9,16,13,26890.641000000007,22653.42633303906,21317.55789452148
2020,9,16,14,31403.63860000001,25062.94774827059,24732.098655235182
2020,9,16,15,35414.85119999999,27353.31004399083,27327.63902042539
2020,9,16,16,37429.4224,29551.65972504284,30708.14444759648
2020,9,16,17,39166.5206,31714.78324692554,32904.05449369583
2020,9,16,18,40263.04220000001,33088.79748312255,34647.415479100724
2020,9,16,19,40291.6956,33771.32997496287,36864.081046449566
2020,9,16,20,39058.733,33909.35900607686,36917.17503680973
2020,9,16,21,36717.4916,32997.2379809734,34386.61863784861
2020,9,16,22,33036.274000000005,30462.661691929858,31325.377352415708
2020,9,16,23,30630.1178,28005.552524353792,28712.93937588726
2020,9,16,24,27776.6414,25735.03902967404,26136.845415787277
2020,9,17,1,25288.535600000007,23789.71108976129,23861.472120846887
2020,9,17,2,22989.5652,20743.31420353066,20064.12761920006
2020,9,17,3,20815.8274,17971.098712897856,16388.89818162292
2020,9,17,4,19083.793799999992,16376.008350183658,13982.524787691837
2020,9,17,5,22875.809,18975.835460657378,12866.5019513589
2020,9,17,6,22878.7334,18969.365522277792,12169.908900030605
2020,9,17,7,23198.7534,19200.71492700913,11872.139895872277
2020,9,17,8,23886.7838,19959.28450913225,12160.077535729422
2020,9,17,9,24365.6812,20815.732793005183,13084.883768475464
2020,9,17,10,26852.423999999988,23287.36271679147,15555.862846266891
2020,9,17,11,29967.245,25565.038806424986,17591.35990330115
2020,9,17,12,35668.8966,28576.39195870597,19911.10616898788
2020,9,17,13,42261.859,32164.470249476966,22915.65500471695
2020,9,17,14,48402.041,35781.39146171091,26142.13982379071
2020,9,17,15,53818.7666,38693.85830578713,29110.155987493017
2020,9,17,16,57619.93180000001,40914.21223821768,31401.437896650303
2020,9,17,17,58642.6642,41849.29635536168,33321.6858591195
2020,9,17,18,57480.226600000016,42311.54711571369,34837.96959959262
2020,9,17,19,54293.99740000001,41976.50332368226,36742.73478080816
2020,9,17,20,50720.541,40915.15822148488,37814.70563367042
2020,9,17,21,45357.1882,38902.55138746305,36599.28699947504
2020,9,17,22,40205.7854,35251.2620084033,32392.615206970197
2020,9,17,23,36724.73040000001,32049.75829681337,28819.150108141497
2020,9,17,24,32496.8676,28885.036258351967,25857.79061736468
2020,9,18,1,29659.323599999992,26612.649354914327,23515.37904215414
2020,9,18,2,27278.373,23479.42665406346,19705.338195584256
2020,9,18,3,24992.22399999999,21011.654864014057,15515.52817787922
2020,9,18,4,23753.1726,19749.804593292592,13426.572959022771
2020,9,18,5,22893.79179999999,19182.05303486997,12428.652156187472
2020,9,18,6,22643.966800000013,19058.955743106537,11839.523287692664
