Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Generator,2_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,2_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,2_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,2_WIND-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,5_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,5_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,5_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,5_WIND-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,9_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,9_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,9_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,9_WIND-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,6_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,6_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,6_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,6_WIND-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,1_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,1_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,1_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,1_WIND-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,8_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,8_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,8_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,8_WIND-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,3_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,3_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,3_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,3_WIND-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,4_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,4_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,4_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,4_WIND-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,7_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,7_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,7_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,7_WIND-c,PMax MW,REAL_TIME_renewables.csv
