GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4
6_WIND-c,6,WIND,W,0,0,1,37.3248,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
7_WIND-c,7,WIND,W,0,0,1,0.237180524,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
8_WIND-c,8,WIND,W,0,0,1,29.6179346,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
9_WIND-c,9,WIND,W,0,0,1,4356.6562,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
10_PV-c,10,PV,S,0,0,1,10921.36364,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
11_PV-c,11,PV,S,0,0,1,1767.545455,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
1_PV-c,1,PV,S,0,0,1,807.4545455,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
2_PV-c,2,PV,S,0,0,1,293.8181818,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
3_PV-c,3,PV,S,0,0,1,172,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
4_PV-c,4,PV,S,0,0,1,29.45454545,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
5_PV-c,5,PV,S,0,0,1,1015,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
6_PV-c,6,PV,S,0,0,1,232.3636364,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
7_PV-c,7,PV,S,0,0,1,36.54545455,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
8_PV-c,8,PV,S,0,0,1,100.0909091,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
9_PV-c,9,PV,S,0,0,1,10122.18182,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
10_CC-c,10,CC,G,0,0,1,15588,8573.399782,13,-13,8,6,133.5173149,9999,9999,9999,,0,9999,29024.81266,2.677787,0.5,1,,,154.6522144,6.786254744,,,
10_CT-c,10,CT,C,0,0,1,7730.1,3478.544907,13,-13,0,0,413.0981982,9999,9999,9999,,0,9999,11893.78319,2.169001,0.5,1,,,25.82021964,12.224637,,,
9_CC_1-c,9,CC,G,0,0,1,11086.8,6097.739845,13,-13,8,6,94.96277694,9999,9999,9999,,0,9999,30659.67505,2.677787,0.5,1,,,155.9627643,6.84376265,,,
5_CC_1-c,5,CC,G,0,0,1,2497.8,1373.789965,13,-13,8,6,21.39463364,9999,9999,9999,,0,9999,35027.22061,2.677787,0.5,1,,,156.5168387,6.86807585,,,
5_CC_1-c,5,CT,C,0,0,1,1857.6,835.9199777,13,-13,0,0,99.27054153,9999,9999,9999,,0,9999,7681.938015,2.169001,0.5,1,,,25.41864234,12.0345094,,,
8_CT_1-c,8,CT,C,0,0,1,15,6.74999982,13,-13,0,0,0.80160321,9999,9999,9999,,0,9999,172.3758452,2.169001,0.5,1,,,26.11195159,12.36275811,,,
9_CC_1-c,9,CC,G,0,0,1,11086.8,6097.739845,13,-13,8,6,94.96277694,9999,9999,9999,,0,9999,30659.67505,2.677787,0.5,1,,,155.9627643,6.84376265,,,
9_CT_1-c,9,CT,C,0,0,1,11177.42862,5029.842743,13,-13,0,0,597.3241772,9999,9999,9999,,0,9999,19404.9045,2.169001,0.5,1,,,25.24589364,11.95272116,,,
10_CC_1-c,10,CC,G,0,0,1,15588,8573.399782,13,-13,8,6,133.5173149,9999,9999,9999,,0,9999,29024.81266,2.677787,0.5,1,,,154.6522144,6.786254744,,,
10_CT_1-c,10,CT,C,0,0,1,7730.1,3478.544907,13,-13,0,0,413.0981982,9999,9999,9999,,0,9999,11893.78319,2.169001,0.5,1,,,25.82021964,12.224637,,,
9_CC_2-c,9,CC,G,0,0,1,11086.8,6097.739845,13,-13,8,6,94.96277694,9999,9999,9999,,0,9999,30659.67505,2.677787,0.5,1,,,155.9627643,6.84376265,,,
5_CC_2-c,5,CC,G,0,0,1,2497.8,1373.789965,13,-13,8,6,21.39463364,9999,9999,9999,,0,9999,35027.22061,2.677787,0.5,1,,,156.5168387,6.86807585,,,
5_CC_2-c,5,CT,C,0,0,1,1857.6,835.9199777,13,-13,0,0,99.27054153,9999,9999,9999,,0,9999,7681.938015,2.169001,0.5,1,,,25.41864234,12.0345094,,,
8_CT_2-c,8,CT,C,0,0,1,15,6.74999982,13,-13,0,0,0.80160321,9999,9999,9999,,0,9999,172.3758452,2.169001,0.5,1,,,26.11195159,12.36275811,,,
9_CC_2-c,9,CC,G,0,0,1,11086.8,6097.739845,13,-13,8,6,94.96277694,9999,9999,9999,,0,9999,30659.67505,2.677787,0.5,1,,,155.9627643,6.84376265,,,
9_CT_2-c,9,CT,C,0,0,1,11177.42862,5029.842743,13,-13,0,0,597.3241772,9999,9999,9999,,0,9999,19404.9045,2.169001,0.5,1,,,25.24589364,11.95272116,,,
10_CC_2-c,10,CC,G,0,0,1,15588,8573.399782,13,-13,8,6,133.5173149,9999,9999,9999,,0,9999,29024.81266,2.677787,0.5,1,,,154.6522144,6.786254744,,,
10_CT_2-c,10,CT,C,0,0,1,7730.1,3478.544907,13,-13,0,0,413.0981982,9999,9999,9999,,0,9999,11893.78319,2.169001,0.5,1,,,25.82021964,12.224637,,,
3_CC_2-c,3,CC,G,0,0,1,11086.8,6097.739845,13,-13,8,6,94.96277694,9999,9999,9999,,0,9999,30659.67505,2.677787,0.5,1,,,155.9627643,6.84376265,,,
3_CT_2-c,3,CT,C,0,0,1,11177.42862,5029.842743,13,-13,0,0,597.3241772,9999,9999,9999,,0,9999,19404.9045,2.169001,0.5,1,,,25.24589364,11.95272116,,,
2_CC_2-c,2,CC,G,0,0,1,15588,8573.399782,13,-13,8,6,133.5173149,9999,9999,9999,,0,9999,29024.81266,2.677787,0.5,1,,,154.6522144,6.786254744,,,
2_CT_2-c,2,CT,C,0,0,1,7730.1,3478.544907,13,-13,0,0,413.0981982,9999,9999,9999,,0,9999,11893.78319,2.169001,0.5,1,,,25.82021964,12.224637,,,
3_CC-c,3,CC,G,0,0,1,11086.8,6097.739845,13,-13,8,6,94.96277694,9999,9999,9999,,0,9999,30659.67505,2.677787,0.5,1,,,155.9627643,6.84376265,,,
3_CT-c,3,CT,C,0,0,1,11177.42862,5029.842743,13,-13,0,0,597.3241772,9999,9999,9999,,0,9999,19404.9045,2.169001,0.5,1,,,25.24589364,11.95272116,,,
2_CC-c,2,CC,G,0,0,1,15588,8573.399782,13,-13,8,6,133.5173149,9999,9999,9999,,0,9999,29024.81266,2.677787,0.5,1,,,154.6522144,6.786254744,,,
2_CT-c,2,CT,C,0,0,1,7730.1,3478.544907,13,-13,0,0,413.0981982,9999,9999,9999,,0,9999,11893.78319,2.169001,0.5,1,,,25.82021964,12.224637,,,
