,fips_code,lim_timestamp,case_5b_prob,date
106080,48025,02-10 00:00:00,0.0,02-10
106081,48025,02-10 01:00:00,0.0,02-10
106082,48025,02-10 02:00:00,0.0,02-10
106083,48025,02-10 03:00:00,0.0,02-10
106084,48025,02-10 04:00:00,0.0,02-10
106085,48025,02-10 05:00:00,0.0,02-10
106086,48025,02-10 06:00:00,0.0,02-10
106087,48025,02-10 07:00:00,0.0,02-10
106088,48025,02-10 08:00:00,0.0,02-10
106089,48025,02-10 09:00:00,0.0,02-10
106090,48025,02-10 10:00:00,0.0,02-10
106091,48025,02-10 11:00:00,0.0,02-10
106092,48025,02-10 12:00:00,0.0,02-10
106093,48025,02-10 13:00:00,0.0,02-10
106094,48025,02-10 14:00:00,0.0,02-10
106095,48025,02-10 15:00:00,0.0,02-10
106096,48025,02-10 16:00:00,0.0,02-10
106097,48025,02-10 17:00:00,0.0,02-10
106098,48025,02-10 18:00:00,0.0,02-10
106099,48025,02-10 19:00:00,0.0,02-10
106100,48025,02-10 20:00:00,0.0,02-10
106101,48025,02-10 21:00:00,0.0,02-10
106102,48025,02-10 22:00:00,0.0,02-10
106103,48025,02-10 23:00:00,0.0,02-10
114840,48027,02-10 00:00:00,0.0,02-10
114841,48027,02-10 01:00:00,0.0,02-10
114842,48027,02-10 02:00:00,0.0,02-10
114843,48027,02-10 03:00:00,0.0,02-10
114844,48027,02-10 04:00:00,0.0,02-10
114845,48027,02-10 05:00:00,0.0,02-10
114846,48027,02-10 06:00:00,0.0,02-10
114847,48027,02-10 07:00:00,0.0,02-10
114848,48027,02-10 08:00:00,0.0,02-10
114849,48027,02-10 09:00:00,0.0,02-10
114850,48027,02-10 10:00:00,0.0,02-10
114851,48027,02-10 11:00:00,0.0,02-10
114852,48027,02-10 12:00:00,0.0,02-10
114853,48027,02-10 13:00:00,0.0,02-10
114854,48027,02-10 14:00:00,0.0,02-10
114855,48027,02-10 15:00:00,0.0,02-10
114856,48027,02-10 16:00:00,0.0,02-10
114857,48027,02-10 17:00:00,0.0,02-10
114858,48027,02-10 18:00:00,0.0,02-10
114859,48027,02-10 19:00:00,0.0,02-10
114860,48027,02-10 20:00:00,0.0,02-10
114861,48027,02-10 21:00:00,0.0,02-10
114862,48027,02-10 22:00:00,0.0,02-10
114863,48027,02-10 23:00:00,0.0,02-10
123600,48029,02-10 00:00:00,0.0,02-10
123601,48029,02-10 01:00:00,0.0,02-10
123602,48029,02-10 02:00:00,0.0,02-10
123603,48029,02-10 03:00:00,0.0,02-10
123604,48029,02-10 04:00:00,0.0,02-10
123605,48029,02-10 05:00:00,0.0119047619047619,02-10
123606,48029,02-10 06:00:00,0.0119047619047619,02-10
123607,48029,02-10 07:00:00,0.0119047619047619,02-10
123608,48029,02-10 08:00:00,0.0119047619047619,02-10
123609,48029,02-10 09:00:00,0.0119047619047619,02-10
123610,48029,02-10 10:00:00,0.0119047619047619,02-10
123611,48029,02-10 11:00:00,0.0119047619047619,02-10
123612,48029,02-10 12:00:00,0.0059523809523809,02-10
123613,48029,02-10 13:00:00,0.0,02-10
123614,48029,02-10 14:00:00,0.0,02-10
123615,48029,02-10 15:00:00,0.0,02-10
