GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4
G10_R3,3,LFILL,G,3.2,0,1,3.2,0,300,-300,6,7,1,,,,,,,0,1,,,,,,,,,,
G11_R3,3,WIND,W,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
Wind_R3,3,WIND,W,794.3000000000001,0,1,794.3000000000001,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G13_R3,3,PV,S,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G14_R3,3,PV,S,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
Solar_R3,3,PV,S,4218.9,0,1,4218.9,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
Hydro_R3,3,HYDRO,H,1897.5,0,1,1897.5,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G17_R3,3,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G18_R3,3,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G19_R3,3,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G20_R3,3,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G21_R3,3,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G22_R3,3,GEO,GEO,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
