Year,Month,Day,Period,1,2,3
2020,5,1,11,14612.3641,13412.778750559835,8986.576970499023
2020,5,1,12,16576.208700000003,14587.77846015312,10533.834256084196
2020,5,1,13,18342.0059,15902.465650650049,11747.633264516053
2020,5,1,14,19951.9511,17304.241139424943,12509.447437220426
2020,5,1,15,21018.4233,18442.83601486833,13210.599270888524
2020,5,1,16,21480.0358,19304.20392352908,13769.93397278383
2020,5,1,17,21214.4398,19362.14686234224,13747.36378754874
2020,5,1,18,20394.4769,19451.07284642108,14212.66954843522
2020,5,1,19,19245.191,19214.35974584973,14954.931995517669
2020,5,1,20,17786.6628,18827.545827684087,15903.91539628678
2020,5,1,21,16387.478000000003,17969.703678282684,16204.01804247402
2020,5,1,22,15127.742300000002,16754.323054248336,15208.264099084532
2020,5,1,23,13969.869199999996,15053.161212859432,13632.04560071445
2020,5,1,24,13993.152500000004,14090.4918198507,12230.434078308272
2020,5,2,1,13138.017500000004,13045.972091643584,10958.718146514922
2020,5,2,2,12329.7445,11460.53031699491,8849.087964537714
2020,5,2,3,11680.640600000004,10296.11630890429,7059.20813692175
2020,5,2,4,11432.5388,9705.971063649822,5637.977519266655
2020,5,2,5,11317.7741,9538.565624295592,5111.908909592368
2020,5,2,6,11407.8369,9550.391407589736,4748.825663399992
2020,5,2,7,11715.8845,9759.86931326042,4607.655517167004
2020,5,2,8,12251.196200000002,10213.575834286205,4900.72155854415
2020,5,2,9,12293.7473,10574.22614261305,5693.541544106118
2020,5,2,10,12383.595199999996,11589.86900536496,6696.032586782705
2020,5,2,11,14677.7679,13115.274040272869,8165.694873424113
2020,5,2,12,16556.635199999997,14535.01047083658,9637.85181114714
2020,5,2,13,18286.137,16167.52430321682,11370.84145095412
2020,5,2,14,19837.462,17815.91828069785,12434.413561583984
2020,5,2,15,20820.7047,19084.3284570919,13299.277423668109
2020,5,2,16,21310.2535,19978.566024556283,13994.519083470936
2020,5,2,17,21314.2241,20365.29928225253,14579.70982698632
2020,5,2,18,20735.2438,20420.22657431521,15540.4247171392
2020,5,2,19,19554.3591,20258.41326719805,16534.25204613578
2020,5,2,20,18199.733,19830.16902413917,17158.15086393782
2020,5,2,21,16847.4744,18975.216601752407,17466.957327673204
2020,5,2,22,15461.584900000003,17665.94545735365,15848.461524776376
2020,5,2,23,14081.3973,15937.977485646488,14364.82131099306
2020,5,2,24,13974.378800000002,14752.038553257786,12789.23618631224
2020,5,3,1,13034.7572,13512.142646336792,11902.774995612444
2020,5,3,2,12194.993699999995,11787.37021924546,9875.783492847246
2020,5,3,3,11548.920099999998,10462.600589780175,7697.982414638052
2020,5,3,4,11279.0556,9877.015613817768,6690.808383148095
2020,5,3,5,11007.1089,9451.06175132194,5830.280722117112
2020,5,3,6,11109.0576,9449.506696460508,5474.216196108654
2020,5,3,7,11397.0377,9569.55112107642,5262.257673809312
2020,5,3,8,11913.2555,9948.677874462588,5419.07936601945
2020,5,3,9,12011.176799999996,10295.809762107849,6094.740386205264
2020,5,3,10,12002.2116,11138.762270136032,7149.118768325026
2020,5,3,11,14102.6583,12503.43021471389,8663.39576895881
2020,5,3,12,15913.419299999998,13864.218125924754,10158.909861704233
2020,5,3,13,17781.622,15228.509841220291,11669.17533668811
2020,5,3,14,19645.463,16600.4774368762,13244.56859864852
2020,5,3,15,20956.9911,17642.81598079441,14496.186138619869
2020,5,3,16,21652.3357,18532.14764098724,15423.79011211571
2020,5,3,17,21652.8449,18872.12919909207,15493.513210468744
2020,5,3,18,21284.9343,18893.52304939435,15891.013616807972
2020,5,3,19,20715.545400000003,18957.137427181508,16737.27464595489
2020,5,3,20,19536.1438,18829.888879000187,17431.130356701928
2020,5,3,21,18099.9123,18172.5594678354,15670.450740661016
2020,5,3,22,16448.6902,16936.059155597693,13836.601600547929
2020,5,3,23,14697.9211,15286.416067266324,12768.0690903863
2020,5,3,24,14085.3595,14305.115153787609,11397.62934041071
2020,5,4,1,13001.409,13138.765788632692,9762.260709327373
2020,5,4,2,12063.143,11690.012722851006,7941.120866814546
2020,5,4,3,11283.1904,10302.00205865904,6372.791886258266
2020,5,4,4,10972.9434,9610.10154339898,5008.38303167432
2020,5,4,5,10933.426900000002,9485.32598158508,4864.820243766898
2020,5,4,6,11015.6282,9468.869915945044,4713.803893379704
2020,5,4,7,11333.9336,9655.056944928496,4487.621503530221
2020,5,4,8,11878.2056,10112.669268925714,4823.8717784044
2020,5,4,9,12153.1295,10486.693830199054,5678.700208164829
2020,5,4,10,12248.9332,11349.015730622805,6631.106802115746
2020,5,4,11,14488.191000000004,12961.51564824066,7736.078552357517
2020,5,4,12,16767.358099999998,14419.626445730872,8395.081377177947
2020,5,4,13,19235.6911,15990.64237883299,9023.132264928494
2020,5,4,14,21606.236600000004,17654.945202002717,9603.59990791547
2020,5,4,15,23436.9134,18861.14725985996,10025.2894768846
2020,5,4,16,24842.410300000003,19735.619274610806,10803.571329752043
2020,5,4,17,24901.196,20166.08875859653,11102.45444389606
2020,5,4,18,24484.7475,20153.46643098276,11632.42792553062
2020,5,4,19,23652.528400000003,19821.42313084747,11715.353546365224
2020,5,4,20,22177.4452,19388.469360036936,9434.462592106463
2020,5,4,21,20219.7626,18403.01577111576,9573.06040452506
2020,5,4,22,18314.6832,16878.103901492104,9399.704923268106
2020,5,4,23,16106.4876,15066.528935103244,8927.640513624743
2020,5,4,24,15011.701200000003,14117.625865710434,8700.62876198542
2020,5,5,1,13704.4973,12992.92177167824,8388.102301459763
2020,5,5,2,12587.5076,11397.503535911072,6817.982156698938
2020,5,5,3,11700.824,10212.2244624528,5506.197188376262
2020,5,5,4,11275.0998,9684.11760587437,4830.308680656033
2020,5,5,5,9382.3115,8209.08171289202,4565.931901361944
2020,5,5,6,9353.5784,8184.750031792322,4511.174082803934
2020,5,5,7,9484.3165,8322.152277244219,4503.467204367664
2020,5,5,8,9832.4799,8664.865773883914,4626.466644626768
2020,5,5,9,9862.2426,8837.590200865963,5159.31230507573
2020,5,5,10,9482.4709,8926.785200207876,5268.704804158448
2020,5,5,11,11057.219,10090.90775061872,6175.9701136189
2020,5,5,12,12438.1094,10989.744986460122,7314.92545912703
2020,5,5,13,13956.0489,11898.078711933833,8478.412596312874
2020,5,5,14,15845.2224,12746.626712135596,9068.19515123372
2020,5,5,15,17588.281199999998,13712.42883757965,9487.83883393059
2020,5,5,16,19084.7835,14703.12148053577,10017.94697131654
2020,5,5,17,20030.8074,15259.418772426468,10389.492341447673
2020,5,5,18,20646.5139,15650.38392837949,11125.88505180291
2020,5,5,19,20584.0873,15772.999827188953,11553.301959364291
2020,5,5,20,20121.6451,15606.20881298276,12150.65606954933
2020,5,5,21,18561.508,15168.02047561735,12650.68016233544
2020,5,5,22,16723.326600000008,14354.041016167885,11991.723973405104
2020,5,5,23,14441.787300000004,12973.54494322521,11164.5885161321
2020,5,5,24,13586.9466,12488.255379991104,10427.559013007434
2020,5,6,1,12296.1711,11584.72945001586,9576.105434835596
2020,5,6,2,11214.414900000002,10355.90886168141,7973.661983331384
